Type materiel 2;Type materiel 3;Type materiel 4;Type matériel;idtypemateriel;idsoustypemateriel;commentaire sur materiel;Millésime;codetype;Coderef;prix neuf € unité;prix moyen achat;unité;unité / an;charges fixes annuelle unité;charges fixes €/an;charges fixes €/unité de volume de travail annuel unité;charges fixes €/unité de volume de travail annuel;Réparations unité;Réparations €/unité de travail annuel;coût total unité;coût total € / unité de travail annuel;performance unité;performance;performance coût total unité;performance coût total €;données puissance 1 adéquate unité;données puissance 1 adéquate;données taux de charge moteur;donnees amortissement 1;donnees amortissement 2;donnees transport 1 unite;donnees transport 1;donnees transport 2 unite;donnees transport 2;donnees transport 3 unite;donnees transport 3;code matériel GES'TIM;masse (kg);durée de vie théorique -obsolescence constructeur- (années);Energie unité;Coût Energie / unité de travail;Energie coût total unité;Energie coût total  € / unité de travail annuel;coût total AVEC carburant € / unité de travail annuel;coût total unité sans carburant;coût total SANS carburant € / unité de travail annuel;carburant cout unité;carburant €/unité de travail;lubrifiant cout unité;lubrifiant €/unité de travail;pneus cout unité;pneus €/unité de travail;puissance ch ISO unité;puissance ch ISO;volume carter huile BV unité;volume carter huile BV;volume carter huile moteur unité;volume carter huile moteur;pneus AV taille;pneus AV prix €;pneus AV prix €;pneus AV durée vie unité;pneus AV durée vie;pneus AR taille;pneus AR prix unité;pneus AR prix;pneus AR durée vie unité;pneus AR durée vie;performance coût total AVEC CARBURANT €/h;performance coût total SANS CARBURANT €/h
Catégorie B = Catégorie A + suspension du pont avant de série;96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Catégorie B = Catégorie A + suspension du pont avant de série /96 à 105 ch/100 ch;TRACTEURS CLASSIQUES;100 ch BVSP + pont AV suspendu;Catégorie B = Catégorie A + suspension du pont avant de série;2015.0;11;1121022021;€;54200.0;heure;700;€/an;5228.06686611;€/h;7.46866695159;€/h;2.22;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;4200.0;19.0;;;;;16.1932190349;€/h;11.1882190349;€/h;5.005;€/h;0.32621875;€/h;1.17333333333;ch ISO;100.0;L;60.0;L;11.0;360 70 24;800.0;800.0;;3000.0;480 70 34;;1600.0;;5000.0;;
Tracteur Standards 2 RM Boite mécanique;2 RM - 96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Tracteur Standards 2 RM Boite mécanique /2 RM - 96 à 105 ch /100 ch;TRACTEURS CLASSIQUES;100 ch;Tracteur Standards 2 RM Boite mécanique;2015.0;11;111101;€;42550.0;heure;700;€/an;4104.32186629;€/h;5.86331695185;€/h;1.21;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;3310.0;19.0;;;;;12.0240357018;€/h;7.73403570185;€/h;4.29;€/h;0.32621875;€/h;0.3345;ch ISO;100.0;L;60.0;L;11.0;750 20;85.0;85.0;;4000.0;16,9 38;;730.0;;5000.0;;
H de G 150 ch, 4RM, 20 hl;28 m, cab classe 4, guidage,;Circulation continue, etc.;PULVERISATEURS AUTOMOTEURS/H de G 150 ch, 4RM, 20 hl /28 m, cab classe 4, guidage, /Circulation continue, etc.;PULVERISATEURS AUTOMOTEURS;Pulvé Rapide 170 ch toutes options;H de G 150 ch, 4RM, 20 hl 28 m, cab classe 4, guidage, Circulation continue, etc.;2015.0;60;60512055443;€;162600.0;ha;2500;€/an;20038.3609076;€/ha;8.01534436303;€/ha;1.33;€/ha;;ha/h;20.0;€/h;;;;;7.0;0.2;m;28.0;litres;2500.0;min;15.0;GES2;5500.0;18.0;;;;;9.89175061303;€/ha;9.35550061303;€/ha;0.53625;€/ha;0.01015625;;;ch ISO;150.0;;;L;20.0;;;;;;;;;;;197.835012261;187.110012261
700 cc 50 - 55 cv;4 x 4 débrayable;;QUAD/700 cc 50 - 55 cv /4 x 4 débrayable/;QUAD;700 cc 50 - 55 cv;4 x 4 débrayable;2015.0;17;17205017;€;12000.0;heure;200;€/an;1120.98233985;€/h;5.60491169925;€/h;3.35;€/h;;;;;;;;0.46;10.0;0.1;;;;;;;GES1;350.0;15.0;;;;;17.5754950326;;;€/h;7.68;€/h;0.10725;€/h;0.833333333333;ch ISO;45.0;;;L;3.0;8-12;125.0;125.0;;600.0;10-12;;125.0;;600.0;;
Porteur Automoteur;120 ch;;Porteur Viti Automoteur/Porteur Automoteur /120 ch /;Porteur Viti Automoteur;Porteur Automoteur 120 ch 0;0.0;2015.0;167;16712;€;80000.0;h;350;€/an;7556.70386142;€/h;21.5905824612;€/h;3.0;;;;;;;;;;10.0;0.11;;;;;;;GES1;4500.0;18.0;;;;;30.5965824612;€/h;24.7646896041;€/h;6.006;€/h;0.174107142857;;;ch ISO;120.0;;;L;15.0;;;;;;;;;;;;
Porteur Automoteur;120 ch;;Porteur Viti Automoteur/Porteur Automoteur /120 ch /;Porteur Viti Automoteur;Porteur Automoteur 120 ch 0;;2015.0;167;16712;€;80000.0;h;200;€/an;7556.70386142;€/h;37.7835193071;€/h;3.0;;;;;;;;;;10.0;0.11;;;;;;;GES1;4500.0;18.0;;;;;47.0942068071;€/h;41.0882068071;€/h;6.006;€/h;0.3046875;;;ch ISO;120.0;;;L;15.0;;;;;;;;;;;;
"Pivot Fixe 300 m, 5"", rotators, cercle complet,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,;monté , hors câble d'alim. Élect;"Pivot / Rampe/Pivot Fixe 300 m, 5"", rotators, cercle complet, /5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, /monté , hors câble d'alim. Élect";Pivot / Rampe;"Pivot Fixe 300 m, 5"", rotators, cercle complet, 5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, monté , hors câble d'alim. Élect;2015.0;IRRI0542;IRRI054200030000510000002;€;51500.0;m3;31350;€/an;3218.75;€/m3;0.102671451356;€/m3;0.102671451356;;;;;;;;;;;;;;;;;;GES3;0.0;20.0;;;€/m3;0.129784688995;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pivot Fixe 300 m, 5"", rotators, cercle complet,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,;monté , hors câble d'alim. Élect;"Pivot / Rampe/Pivot Fixe 300 m, 5"", rotators, cercle complet, /5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, /monté , hors câble d'alim. Élect";Pivot / Rampe;"Pivot Fixe 300 m, 5"", rotators, cercle complet, 5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, monté , hors câble d'alim. Élect;2015.0;IRRI0542;IRRI054200030000510000002;€;51500.0;ha;99;€/an;3218.75;€/ha;32.5126262626;€/ha;32.5126262626;;;;;;;;;;;;;;;;;;GES3;;20.0;;;€/ha;41.0984848485;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPA;Tonne 21 m3 Standard;Rampe 24 m pendillards + DPA;EPANDEURS & ACCESSOIRES/Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPA/Tonne 21 m3 Standard /Rampe 24 m pendillards + DPA;EPANDEURS & ACCESSOIRES;21 m3 + rampe à pendillards24 M + dpa;Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPATonne 21 m3 Standard Rampe 24 m pendillards + DPA;2015.0;40;4.02300214723e+13;€;139400.0;Voy;1150;€/an;16482.2589823;€/voy;14.332399115;€/voy;2.3;€/voy;16.632399115;Voy / h;2.0;€/h;33.26479823;ch;230.0;0.4;7.0;0.15;m;24.0;m3;21.0;mn;10.0;GES5;12150.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semoir 4 rgs;Distribution mécanique;;SEMOIRS & ACCESSOIRES/Semoir 4 rgs /Distribution mécanique /;SEMOIRS & ACCESSOIRES;4 rgs Méca;Distribution mécanique 0;2015.0;30;305104111;€;4000.0;ha;40;€/an;345.66077995;€/ha;8.64151949875;€/ha;0.79;€/ha;9.43151949875;ha/h;0.8;€/h;7.545215599;ch;80.0;0.4;10.0;0.15;;;;;;;GES5;600.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vibreur / Récepteur Cerise;Remorque Recep.;50 ch. Hydraulique;RECOLTEUSES FRUITS/Vibreur / Récepteur Cerise/Remorque Recep./50 ch. Hydraulique;RECOLTEUSES FRUITS;Vibreur / Récepteur CeriseRemorque Recep.50 ch. Hydraulique;;2015.0;861;8.61201000006e+11;€;54770.0;he;100;€/an;6749.69881247;€/h;67.4969881247;€/h;4.5;;;;;;;;;;;;;;;;;;;;;;;;;77.2051131247;€/h;72.2001131247;€/h;5.005;€/h;0.203125;;;ch ISO;50.0;;;L;5.0;;;;;;;;;;;;
MB 250 à 290 ch H G;5 secoueurs + BV hydro;Coupe 6 m Variable;MOISSONNEUSES-BATTEUSES/MB 250 à 290 ch H G /5 secoueurs + BV hydro /Coupe 6 m Variable;MOISSONNEUSES-BATTEUSES;Coupe de 5,6 à 6,5 m + chariot 5 secoueurs;MB 250 à 290 ch H G 5 secoueurs + BV hydro Coupe 6 m Variable;2015.0;801;8015110921;€;202000.0;ha;300;€/an;15791.4992764;€/ha;52.6383309214;€/ha;13.85;€/ha;;ha/h;1.8;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;15400.0;18.0;;;;;81.841872588;€/ha;66.826872588;;15.015;€/ha;0.338541666667;;;ch ISO;270.0;;;L;25.0;;;;;;;;;;;147.315370658;120.288370658
MB 250 à 290 ch H G;5 secoueurs + BV hydro;Coupe 6 m Variable;MOISSONNEUSES-BATTEUSES/MB 250 à 290 ch H G /5 secoueurs + BV hydro /Coupe 6 m Variable;MOISSONNEUSES-BATTEUSES;Coupe de 5,6 à 6,5 m + chariot 5 secoueurs;MB 250 à 290 ch H G 5 secoueurs + BV hydro Coupe 6 m Variable;2015.0;801;8015110921;€;202000.0;ha;200;€/an;15791.4992764;€/ha;78.957496382;€/ha;13.85;€/ha;;ha/h;1.8;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;15400.0;18.0;;;;;108.330308882;€/ha;93.315308882;;15.015;€/ha;0.5078125;;;ch ISO;270.0;;;L;25.0;;;;;;;;;;;194.994555988;167.967555988
Herse Plate Légère;5 compartiments;4 m pliage manuel;HERSES/Herse Plate Légère /5 compartiments /4 m pliage manuel;HERSES;Herse Plate Légère;5 compartiments 4 m pliage manuel;2015.0;205;205207;€;1500.0;ha;120;€/an;129.622792481;€/ha;1.08018993734;€/ha;0.636;€/ha;1.71618993734;ha/h;2.5;€/h;4.29047484336;ch;80.0;0.8;10.0;0.15;;;;;;;GES3;550.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motoculteur 25 cv, essence,;2 Av et 2 Ar, Pdf,;Lanceur Automatique,;MOTOCULTEUR/Motoculteur 25 cv, essence, /2 Av et 2 Ar, Pdf, /Lanceur Automatique,;MOTOCULTEUR;Motoculteur 25 cv, essence, 2 Av et 2 Ar, Pdf, Lanceur Automatique,;0.0;2015.0;1M1;1M11251;€;2700.0;he;300;€/an;332.740310273;€/h;1.10913436758;€/h;5.0;;;;;;;;;;;;;;;;;;;;;;;;;9.62913436758;€/h;6.17684270091;€/h;3.52;€/h;0.0677083333333;;;ch ISO;25.0;;;L;5.0;;;;;;;;;;;;
Cultivateur VL;5 à 9 dents rigides;;Cultivateur Viti/Cultivateur VL /5 à 9 dents rigides /;Cultivateur Viti;Cultivateur VL 5 à 9 dents rigides 0;;2015.0;203;2032109;€;4500.0;ha;40;€/an;388.868377444;€/ha;9.72170943609;€/ha;1.74;€/ha;11.4617094361;ha/h;0.7;€/h;8.02319660527;ch;80.0;0.4;10.0;0.1;;;;;;;GES3;500.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pivot Fixe 300 m, 5"", rotators, cercle complet,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,;monté , hors câble d'alim. Élect;"Pivot / Rampe/Pivot Fixe 300 m, 5"", rotators, cercle complet, /5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, /monté , hors câble d'alim. Élect";Pivot / Rampe;"Pivot Fixe 300 m, 5"", rotators, cercle complet, 5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, monté , hors câble d'alim. Élect;2015.0;IRRI0542;IRRI054200030000510000002;€;51500.0;ha;88;€/an;3218.75;€/ha;36.5767045455;€/ha;36.5767045455;;;;;;;;;;;;;;;;;;GES3;0.0;20.0;;;€/ha;46.2357954545;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corn Picker 8 rgs, 4 RM,;300 ch, Trémie 17 m3,;cueilleurs à plaques,;CORN PICKER/Corn Picker 8 rgs, 4 RM, /300 ch, Trémie 17 m3, /cueilleurs à plaques,;CORN PICKER;Corn Picker 8 rgs, 300 ch;Corn Picker 8 rgs, 4 RM, 300 ch, Trémie 17 m3, cueilleurs à plaques,;2015.0;805;8058111714;€;275000.0;ha;350;€/an;21498.3282228;€/ha;61.4237949224;€/ha;30.78;€/ha;;ha/h;3.0;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;16500.0;18.0;;;;;129.915402065;€/ha;92.3779020652;€/ha;10.01;€/ha;0.174107142857;;;ch ISO;300.0;;;L;15.0;;;;;;;;;;;103.932321652;73.9023216522
Automotrice 4 RM,;4 rangs,;sans équipement;CASTREUSE MAIS/Automotrice 4 RM, /4 rangs, /sans équipement;CASTREUSE MAIS;Automotrice 4 RM, 4 rangs, sans équipement;;2015.0;552;5524;€;60000.0;h;150;€/an;8088.0;€/h;53.92;€/h;5.13;€/h;;ha/h;0.0;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;4500.0;13.0;;;;;73.059;€/h;64.05;€/h;9.009;€/h;5.0;;;ch ISO;87.4638488209;;;L;0.0;;;;;;;;;;;9.5;90.0
Charrue décavaillonneuse VE;mécanique;1 rg complet - 2 corps;Charrue/Charrue décavaillonneuse VE /mécanique /1 rg complet - 2 corps;Charrue;Charrue décavaillonneuse VE mécanique 1 rg complet - 2 corps;0.0;2015.0;202;2.02710003013e+11;€;4000.0;ha;30;€/an;394.791944641;€/ha;13.159731488;€/ha;5.75;€/ha;18.909731488;ha/h;0.5;€/h;9.45486574402;ch;70.0;0.4;10.0;0.15;;;;;;;GES3;200.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benne 6 tonnes;1 essieu;;BENNES/Benne 6 tonnes /1 essieu /;BENNES;Benne 6 tonnes;Benne 6 tonnes 1 essieu;2015.0;9011;9011060001;€;6220.0;h;100;€/an;362.438125246;€/h;3.62438125246;€/h;0.667;€/h;4.29138125246;t/benne;6.0;€/t;0.715230208743;ch;70.0;0.4;15.0;0.1;;;;;;;GES5;1850.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
